instance,config,mu,lambda,tournament_k,seed,eval_budget,max_generations,fitness_evaluations,iterations,best_cost,gap_percent,hit_optimum,elapsed_seconds
berlin52,(20+80),20,80,3,6,80000,999,79940,999,8433,11.813842482100238,False,1.3173518180847168
berlin52,(20+80),20,80,3,7,80000,999,79940,999,8068,6.9742773800053035,False,1.326064109802246
berlin52,(20+80),20,80,3,8,80000,999,79940,999,7900,4.746751524794484,False,1.319413185119629
berlin52,(20+80),20,80,3,9,80000,999,79940,999,8047,6.695836648103951,False,1.3243210315704346
berlin52,(20+80),20,80,3,10,80000,999,79940,999,8049,6.722354813046937,False,1.3134779930114746
berlin52,(20+80),20,80,3,11,80000,999,79940,999,7820,3.6860249270750463,False,1.3511700630187988
berlin52,(20+80),20,80,3,12,80000,999,79940,999,8535,13.166268894192523,False,1.3191916942596436
berlin52,(20+80),20,80,3,13,80000,999,79940,999,8614,14.213736409440466,False,1.3490948677062988
berlin52,(20+80),20,80,3,14,80000,999,79940,999,8029,6.457173163617077,False,1.3091959953308105
berlin52,(20+80),20,80,3,15,80000,999,79940,999,8219,8.976398833200742,False,1.3212230205535889
berlin52,(20+80),20,80,3,16,80000,999,79940,999,8063,6.907981967647839,False,1.3226330280303955
berlin52,(20+80),20,80,3,17,80000,999,79940,999,8366,10.92548395651021,False,1.3227128982543945
berlin52,(20+80),20,80,3,18,80000,999,79940,999,8220,8.989657915672236,False,1.3214421272277832
berlin52,(20+80),20,80,3,19,80000,999,79940,999,7860,4.216388225934765,False,1.3175439834594727
