problem,problem_type,n,instance,algorithm,config_label,seed,rho,archive_size,num_ants,q0,alpha,beta,max_iterations,fitness_evaluations,iterations,final_fitness,reached_optimum,best_cost,gap_percent,elapsed_seconds
tsp,tsp,52,berlin52,MMAS,"rho=0.05, ants=10, beta=3",7,0.05,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.49032187461853
tsp,tsp,52,berlin52,MMAS,"rho=0.05, ants=10, beta=3",8,0.05,,10,,1.0,3.0,3000,30010,3000,,,7749,2.7446300715990453,7.395761966705322
tsp,tsp,52,berlin52,MMAS,"rho=0.05, ants=10, beta=3",9,0.05,,10,,1.0,3.0,3000,30010,3000,,,7715,2.2938212675682843,7.406876087188721
tsp,tsp,52,berlin52,MMAS,"rho=0.05, ants=10, beta=3",10,0.05,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.3978869915008545
tsp,tsp,52,berlin52,MMAS,"rho=0.05, ants=10, beta=3",11,0.05,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.434016942977905
tsp,tsp,52,berlin52,MMAS,"rho=0.05, ants=10, beta=3",12,0.05,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.395414113998413
tsp,tsp,52,berlin52,MMAS,"rho=0.05, ants=10, beta=3",13,0.05,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.397775888442993
tsp,tsp,52,berlin52,MMAS,"rho=0.05, ants=10, beta=3",14,0.05,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.398962020874023
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",0,0.1,,10,,1.0,2.0,3000,30010,3000,,,7858,4.18987006099178,7.492400169372559
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",1,0.1,,10,,1.0,2.0,3000,30010,3000,,,7741,2.638557411827102,7.4362828731536865
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",2,0.1,,10,,1.0,2.0,3000,30010,3000,,,7542,0.0,7.3956520557403564
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",3,0.1,,10,,1.0,2.0,3000,30010,3000,,,7848,4.05727923627685,7.4147162437438965
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",4,0.1,,10,,1.0,2.0,3000,30010,3000,,,7542,0.0,7.412230968475342
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",5,0.1,,10,,1.0,2.0,3000,30010,3000,,,7715,2.2938212675682843,7.409106016159058
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",6,0.1,,10,,1.0,2.0,3000,30010,3000,,,8215,8.92336250331477,7.417352199554443
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",7,0.1,,10,,1.0,2.0,3000,30010,3000,,,7944,5.330151153540175,7.401807069778442
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",8,0.1,,10,,1.0,2.0,3000,30010,3000,,,7542,0.0,7.430541038513184
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",9,0.1,,10,,1.0,2.0,3000,30010,3000,,,7542,0.0,7.406702995300293
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",10,0.1,,10,,1.0,2.0,3000,30010,3000,,,7542,0.0,7.402066946029663
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",11,0.1,,10,,1.0,2.0,3000,30010,3000,,,7907,4.8395651020949355,7.405265808105469
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",12,0.1,,10,,1.0,2.0,3000,30010,3000,,,7756,2.8374436488994963,7.443406105041504
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",13,0.1,,10,,1.0,2.0,3000,30010,3000,,,7542,0.0,7.411059379577637
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=2",14,0.1,,10,,1.0,2.0,3000,30010,3000,,,7815,3.619729514717582,7.409749984741211
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",0,0.1,,10,,1.0,3.0,3000,30010,3000,,,7715,2.2938212675682843,7.403976917266846
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",1,0.1,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.514949083328247
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",2,0.1,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.404040098190308
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",3,0.1,,10,,1.0,3.0,3000,30010,3000,,,7715,2.2938212675682843,7.4067182540893555
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",4,0.1,,10,,1.0,3.0,3000,30010,3000,,,7715,2.2938212675682843,7.393928050994873
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",5,0.1,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.412118911743164
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",6,0.1,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.401087284088135
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",7,0.1,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.408069849014282
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",8,0.1,,10,,1.0,3.0,3000,30010,3000,,,7944,5.330151153540175,7.399129867553711
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",9,0.1,,10,,1.0,3.0,3000,30010,3000,,,7715,2.2938212675682843,7.536288022994995
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",10,0.1,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.452578067779541
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",11,0.1,,10,,1.0,3.0,3000,30010,3000,,,7715,2.2938212675682843,7.405184030532837
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",12,0.1,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.40641188621521
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",13,0.1,,10,,1.0,3.0,3000,30010,3000,,,7749,2.7446300715990453,7.414062023162842
