problem,crossover,generation,fitness_evaluations,mean_fitness,std_fitness,min_fitness,max_fitness,bit_length,trials
onemax,two_point,69,1730,99.82,0.3841874542459709,99.0,100.0,100,50
onemax,two_point,70,1755,99.86,0.34698703145794946,99.0,100.0,100,50
onemax,two_point,71,1780,99.88,0.3249615361854384,99.0,100.0,100,50
onemax,two_point,72,1805,99.9,0.30000000000000004,99.0,100.0,100,50
onemax,two_point,73,1830,99.92,0.2712931993250107,99.0,100.0,100,50
onemax,two_point,74,1855,99.92,0.2712931993250107,99.0,100.0,100,50
onemax,two_point,75,1880,99.92,0.2712931993250107,99.0,100.0,100,50
onemax,two_point,76,1905,99.92,0.2712931993250107,99.0,100.0,100,50
onemax,two_point,77,1930,99.92,0.2712931993250107,99.0,100.0,100,50
onemax,two_point,78,1955,99.94,0.23748684174075835,99.0,100.0,100,50
onemax,two_point,79,1980,99.94,0.23748684174075835,99.0,100.0,100,50
onemax,two_point,80,2005,99.94,0.23748684174075835,99.0,100.0,100,50
onemax,two_point,81,2030,99.94,0.23748684174075835,99.0,100.0,100,50
onemax,two_point,82,2055,99.94,0.23748684174075835,99.0,100.0,100,50
onemax,two_point,83,2080,99.94,0.23748684174075835,99.0,100.0,100,50
onemax,two_point,84,2105,99.94,0.23748684174075835,99.0,100.0,100,50
onemax,two_point,85,2130,99.94,0.23748684174075835,99.0,100.0,100,50
onemax,two_point,86,2155,99.96,0.19595917942265423,99.0,100.0,100,50
onemax,two_point,87,2180,99.96,0.19595917942265423,99.0,100.0,100,50
onemax,two_point,88,2205,100.0,0.0,100.0,100.0,100,50
onemax,three_point,0,5,55.12,3.32048189273786,48.0,63.0,100,50
onemax,three_point,1,30,59.08,2.9855652731099345,52.0,67.0,100,50
onemax,three_point,2,55,61.58,2.919520508576708,55.0,69.0,100,50
onemax,three_point,3,80,63.76,2.9970652311886705,57.0,71.0,100,50
onemax,three_point,4,105,65.68,2.8874902597238314,59.0,72.0,100,50
onemax,three_point,5,130,67.56,2.706732347314747,61.0,73.0,100,50
onemax,three_point,6,155,69.42,2.706215069058629,62.0,75.0,100,50
onemax,three_point,7,180,71.04,2.521586801995918,65.0,76.0,100,50
onemax,three_point,8,205,72.56,2.5310867231290204,65.0,78.0,100,50
onemax,three_point,9,230,74.1,2.5942243542145693,66.0,80.0,100,50
onemax,three_point,10,255,75.52,2.67761087538873,67.0,83.0,100,50
onemax,three_point,11,280,77.08,2.575577605120839,69.0,85.0,100,50
onemax,three_point,12,305,78.66,2.7972128985831595,70.0,87.0,100,50
onemax,three_point,13,330,79.9,2.640075756488817,71.0,87.0,100,50
onemax,three_point,14,355,81.2,2.6,72.0,88.0,100,50
onemax,three_point,15,380,82.5,2.539685019840059,74.0,89.0,100,50
onemax,three_point,16,405,83.6,2.553429066960741,75.0,91.0,100,50
onemax,three_point,17,430,84.66,2.502878343028282,77.0,92.0,100,50
onemax,three_point,18,455,85.76,2.34571950582332,78.0,92.0,100,50
onemax,three_point,19,480,86.76,2.4129649810969074,79.0,93.0,100,50
onemax,three_point,20,505,87.68,2.4119701490690137,79.0,93.0,100,50
onemax,three_point,21,530,88.72,2.383610706470333,80.0,93.0,100,50
onemax,three_point,22,555,89.54,2.2468644818947134,81.0,93.0,100,50
onemax,three_point,23,580,90.26,2.278683830635571,82.0,94.0,100,50
onemax,three_point,24,605,91.18,2.2688322987827902,83.0,95.0,100,50
onemax,three_point,25,630,91.94,2.120471645648675,84.0,95.0,100,50
onemax,three_point,26,655,92.56,2.011566553708825,86.0,96.0,100,50
onemax,three_point,27,680,93.28,2.0202970078679026,87.0,97.0,100,50
onemax,three_point,28,705,93.8,1.8867962264113207,88.0,97.0,100,50
onemax,three_point,29,730,94.42,1.9192706948213427,89.0,98.0,100,50
onemax,three_point,30,755,94.84,1.747684181996278,90.0,98.0,100,50
onemax,three_point,31,780,95.2,1.7435595774162693,90.0,99.0,100,50
onemax,three_point,32,805,95.52,1.7463103962354458,90.0,99.0,100,50
onemax,three_point,33,830,95.88,1.5702229141112418,91.0,99.0,100,50
onemax,three_point,34,855,96.32,1.6054905792311582,91.0,99.0,100,50
onemax,three_point,35,880,96.72,1.5753094934012175,92.0,99.0,100,50
onemax,three_point,36,905,97.04,1.45547243189282,93.0,100.0,100,50
onemax,three_point,37,930,97.36,1.4800000000000002,93.0,100.0,100,50
onemax,three_point,38,955,97.56,1.3734627770711518,93.0,100.0,100,50
onemax,three_point,39,980,97.86,1.2963024338479043,93.0,100.0,100,50
onemax,three_point,40,1005,97.98,1.1745637488020817,94.0,100.0,100,50
onemax,three_point,41,1030,98.24,1.1412274094149681,94.0,100.0,100,50
onemax,three_point,42,1055,98.4,1.0770329614269007,94.0,100.0,100,50
onemax,three_point,43,1080,98.52,1.0244998779892558,94.0,100.0,100,50
onemax,three_point,44,1105,98.62,0.977547952787995,94.0,100.0,100,50
onemax,three_point,45,1130,98.72,1.0007996802557444,94.0,100.0,100,50
onemax,three_point,46,1155,98.84,0.9243376006633074,95.0,100.0,100,50
onemax,three_point,47,1180,98.9,0.9219544457292886,95.0,100.0,100,50
onemax,three_point,48,1205,99.1,0.8306623862918074,96.0,100.0,100,50
onemax,three_point,49,1230,99.14,0.748598690888516,97.0,100.0,100,50
onemax,three_point,50,1255,99.3,0.7549834435270749,97.0,100.0,100,50
onemax,three_point,51,1280,99.34,0.7644605941446557,97.0,100.0,100,50
onemax,three_point,52,1305,99.4,0.7483314773547883,97.0,100.0,100,50
onemax,three_point,53,1330,99.5,0.6708203932499369,98.0,100.0,100,50
onemax,three_point,54,1355,99.56,0.6374950980203691,98.0,100.0,100,50
onemax,three_point,55,1380,99.58,0.6352952069707436,98.0,100.0,100,50
onemax,three_point,56,1405,99.62,0.6289674077406555,98.0,100.0,100,50
onemax,three_point,57,1430,99.62,0.6289674077406555,98.0,100.0,100,50
onemax,three_point,58,1455,99.62,0.6289674077406555,98.0,100.0,100,50
onemax,three_point,59,1480,99.64,0.6248199740725324,98.0,100.0,100,50
onemax,three_point,60,1505,99.66,0.62,98.0,100.0,100,50
onemax,three_point,61,1530,99.72,0.567097875150313,98.0,100.0,100,50
onemax,three_point,62,1555,99.76,0.5122499389946279,98.0,100.0,100,50
onemax,three_point,63,1580,99.76,0.5122499389946279,98.0,100.0,100,50
onemax,three_point,64,1605,99.8,0.4898979485566356,98.0,100.0,100,50
onemax,three_point,65,1630,99.8,0.4898979485566356,98.0,100.0,100,50
onemax,three_point,66,1655,99.82,0.4331281565541543,98.0,100.0,100,50
onemax,three_point,67,1680,99.84,0.417612260356422,98.0,100.0,100,50
onemax,three_point,68,1705,99.86,0.4004996878900157,98.0,100.0,100,50
onemax,three_point,69,1730,99.86,0.4004996878900157,98.0,100.0,100,50
onemax,three_point,70,1755,99.88,0.3249615361854384,99.0,100.0,100,50
onemax,three_point,71,1780,99.9,0.3,99.0,100.0,100,50
onemax,three_point,72,1805,99.9,0.3,99.0,100.0,100,50
onemax,three_point,73,1830,99.9,0.3,99.0,100.0,100,50
