problem,crossover,bit_length,mu,lambda,seed,fitness_evaluations,iterations,final_fitness,reached_optimum,elapsed_seconds
onemax,three_point,100,5,25,31,1255,50,100,True,0.013570070266723633
onemax,three_point,100,5,25,32,1205,48,100,True,0.012989997863769531
onemax,three_point,100,5,25,33,1255,50,100,True,0.013545036315917969
onemax,three_point,100,5,25,34,1030,41,100,True,0.011312007904052734
onemax,three_point,100,5,25,35,1030,41,100,True,0.010966062545776367
onemax,three_point,100,5,25,36,1255,50,100,True,0.013748884201049805
onemax,three_point,100,5,25,37,1530,61,100,True,0.016719818115234375
onemax,three_point,100,5,25,38,1130,45,100,True,0.012516975402832031
onemax,three_point,100,5,25,39,1155,46,100,True,0.012490034103393555
onemax,three_point,100,5,25,40,1380,55,100,True,0.01537013053894043
onemax,three_point,100,5,25,41,1255,50,100,True,0.013637781143188477
onemax,three_point,100,5,25,42,1255,50,100,True,0.013738155364990234
onemax,three_point,100,5,25,43,2255,90,100,True,0.024137020111083984
onemax,three_point,100,5,25,44,1355,54,100,True,0.014842033386230469
onemax,three_point,100,5,25,45,1405,56,100,True,0.015202045440673828
onemax,three_point,100,5,25,46,1130,45,100,True,0.012363910675048828
onemax,three_point,100,5,25,47,1180,47,100,True,0.012862205505371094
onemax,three_point,100,5,25,48,1605,64,100,True,0.017355918884277344
onemax,three_point,100,5,25,49,1605,64,100,True,0.017519235610961914
onemax,four_point,100,5,25,0,1155,46,100,True,0.012660980224609375
onemax,four_point,100,5,25,1,1180,47,100,True,0.013012886047363281
onemax,four_point,100,5,25,2,1355,54,100,True,0.015250921249389648
onemax,four_point,100,5,25,3,1305,52,100,True,0.014368772506713867
onemax,four_point,100,5,25,4,1055,42,100,True,0.01143193244934082
onemax,four_point,100,5,25,5,1230,49,100,True,0.01359105110168457
onemax,four_point,100,5,25,6,1480,59,100,True,0.016414880752563477
onemax,four_point,100,5,25,7,1180,47,100,True,0.012849092483520508
onemax,four_point,100,5,25,8,1705,68,100,True,0.018572092056274414
onemax,four_point,100,5,25,9,1405,56,100,True,0.015722036361694336
onemax,four_point,100,5,25,10,1230,49,100,True,0.013514995574951172
onemax,four_point,100,5,25,11,1380,55,100,True,0.015352249145507812
onemax,four_point,100,5,25,12,1930,77,100,True,0.02121591567993164
onemax,four_point,100,5,25,13,1205,48,100,True,0.012861967086791992
onemax,four_point,100,5,25,14,1380,55,100,True,0.01509714126586914
onemax,four_point,100,5,25,15,1255,50,100,True,0.013664007186889648
